item,year,worry,actual,expected,unexpected
Crime,2021,6.916666666666667,5235.666666666667,15.336734264549651,-8.420067597882984
Crime,2022,5.5,4810.333333333333,14.99753094866703,-9.49753094866703
Crime,2023,6.8,4385,14.65832763278441,-7.85832763278441
Crime,2024,12.232820682492482,4757,14.954997617521874,-2.722176935029392
Crime,2025,10.179615716995526,4424,14.689430131184306,-4.50981441418878
Education,2011,16.25,17.2,15.851934319055715,0.39806568094428485
Education,2012,12.545454545454543,17.2,13.748371178032528,-1.2029166325779848
Education,2013,14,17.1,11.688795836959173,2.311204163040827
Education,2014,14.454545454545457,17.1,13.79235897798236,0.6621864765630967
Education,2015,16.333333333333332,17.3,17.91150966012907,-1.578176326795738
Education,2016,17.25,17.5,17.823534060229292,-0.5735340602292922
Education,2017,21.25,17.9,21.85470914247611,-0.6047091424761106
Education,2018,18.333333333333332,18,15.500031919456433,2.8333014138768995
Education,2019,20.416666666666668,18.2,17.515619460579785,2.901047206086883
Education,2020,12.444444444444445,18,9.189342496386587,3.255101948057858
Education,2021,14.083333333333334,18,13.396468778433132,0.6868645549002022
Education,2022,8.25,18,13.396468778433132,-5.146468778433132
Housing,1984,3.6,2.823,7.594380187875398,-3.994380187875398
Housing,1985,4.416666666666667,2.907,7.734295318852992,-3.3176286521863254
Housing,1986,6.583333333333333,2.949,7.9775882092429375,-1.3942548759096045
Housing,1987,7.7,3.143,7.69021618672283,0.009783813277170594
Housing,1988,8.916666666666666,3.415,7.838359904852176,1.0783067618144901
Housing,1989,8.833333333333334,3.783,8.077655139600168,0.755678193733166
Housing,1990,9.083333333333334,3.213,10.926168231052678,-1.842834897719344
Housing,1991,10,2.83,9.506950511872798,0.49304948812720184
Housing,1992,12.363636363636363,2.53,8.654173928498714,3.709462435137649
Housing,1993,9.083333333333334,2.371,7.806549165930204,1.2767841674031297
Housing,1994,10.5,2.277,7.380312375242117,3.1196876247578826
Housing,1995,10.333333333333334,2.171,7.247547892891076,3.085785440442258
Housing,1996,8.75,2.227,6.682830158623933,2.0671698413760673
Housing,1997,8,2.374,6.563677455542308,1.436322544457692
Housing,1998,7.583333333333333,2.522,6.813302003061284,0.7700313302720492
Housing,1999,8.083333333333334,2.661,7.088283446208807,0.9950498871245266
Housing,2000,7.083333333333333,2.852,7.203616618085144,-0.12028328475181116
Housing,2001,5.3,2.964,7.717807877437049,-2.417807877437049
Housing,2002,5.166666666666667,3.437,7.056298391961667,-1.8896317252949997
Housing,2003,5.5,4.014,7.621235614238856,-2.1212356142388558
Housing,2004,6.5,4.661,8.444835770779102,-1.9448357707791022
Housing,2005,6.4,4.758,10.854277133357147,-4.454277133357147
Housing,2006,6.181818181818182,4.909,10.892884963429186,-4.711066781611004
Housing,2007,11.333333333333334,5.33,10.513378096214035,0.8199552371192986
Housing,2008,10.5,4.788,13.511851013227604,-3.011851013227604
Housing,2009,6.333333333333333,4.27,12.526006945504571,-6.192673612171238
Housing,2010,5.909090909090909,4.462,9.959415649721283,-4.050324740630374
Housing,2011,6.5,4.428,10.822868602834486,-4.322868602834486
Housing,2012,7.909090909090909,4.361,10.842606339080683,-2.9335154299897743
Housing,2013,10.272727272727272,4.481,10.285636065530714,-0.012908792803441926
Housing,2014,12.272727272727272,4.937,9.696946972110732,2.5757803006165396
Housing,2015,15.25,5.094,11.185542876221302,4.064457123778698
Housing,2016,17.25,5.206,11.561065875652286,5.688934124347714
Housing,2017,17.166666666666668,5.204,12.022583974943748,5.14408269172292
Housing,2018,18.166666666666668,5.145,12.15391886584885,6.012747800817818
Housing,2019,17,5.049,12.140258435656596,4.859741564343404
Housing,2020,7.888888888888889,5.121,11.578497186126997,-3.6896082972381077
Housing,2021,9.333333333333334,5.424,11.155774233249439,-1.8224408999161046
Housing,2022,8.916666666666666,5.686,11.772114764767412,-2.855448098100746
Housing,2023,12.9,5.166,14.070095733549834,-1.170095733549834
Housing,2024,15.360546726867156,4.99,12.365398325919974,2.9951484009471816
Housing,2025,13.83765452868776,4.825,12.037690475836575,1.7999640528511858
Poverty,1995,0,17.92788552343465,4.743201380931893,-4.743201380931893
Poverty,1996,0,19.381124633569584,7.8306295867398035,-7.8306295867398035
Poverty,1997,0.7272727272727273,19.48467738388074,3.603218940363348,-2.8759462130906206
Poverty,1998,8.083333333333334,19.32599512168543,3.2223201306100577,4.861013202723276
Poverty,1999,9.166666666666666,19.055987118047067,3.559807595090014,5.606859071576652
Poverty,2000,7.5,18.36543618312101,4.023185955474304,3.476814044525696
Poverty,2001,5.3,18.33494856411715,6.040949516711876,-0.7409495167118765
Poverty,2002,4.333333333333333,17.763575829763365,5.856561238329803,-1.52322790499647
Poverty,2003,5.583333333333333,17.570954545365296,7.4457822362482204,-1.8624489029148874
Poverty,2004,5.083333333333333,16.864168566477904,7.673611614491563,-2.5902782811582297
Poverty,2005,6.5,17.412700444724322,10.016943484326028,-3.5169434843260277
Poverty,2006,5.636363636363637,17.88079110985456,8.627103610535144,-2.9907399741715075
Poverty,2007,5,18.15678430631231,7.381854414113931,-2.3818544141139313
Poverty,2008,6.833333333333333,17.934330111998587,6.462843962875283,0.3704893704580501
Poverty,2009,6.222222222222222,16.949353482614644,6.645013100715154,-0.42279087849293173
Poverty,2010,7.363636363636363,15.953386585618704,9.066122119570394,-1.7024857559340312
Poverty,2011,7.833333333333333,15.73865235578404,11.894375665363107,-4.061042332029774
Poverty,2012,10.181818181818182,15.41309466992854,12.370181962228834,-2.1883637804106524
Poverty,2013,13.090909090909092,15.219331056381057,13.235386109020155,-0.14447701811106306
Poverty,2014,15.454545454545457,15.853793012946191,14.110045045174672,1.3445004093707844
Poverty,2015,16.25,16.370178437702727,12.490470219802553,3.7595297801974468
Poverty,2016,15.416666666666666,16.24261142203756,10.909473482299958,4.507193184366708
Poverty,2017,14.833333333333334,17.11922522857141,11.70547941141416,3.127853921919174
Poverty,2018,16.583333333333332,16.73445026981139,8.9408828247726575,7.642450508560675
Poverty,2019,18.25,17.874397534106556,10.620223463164471,7.629776536835529
Poverty,2020,14.666666666666666,15.841788748879289,6.290045904109462,8.376620762557204
Poverty,2021,16.333333333333332,15.364981784844376,12.043554525084808,4.289778808248524
Poverty,2022,13.416666666666666,15.690422723628856,13.602996775414148,-0.18633010874748202
Poverty,2023,11.6,15.17888372672557,12.399765294253967,-0.7997652942539677
Poverty,2024,12.49180180735942,15.911572126383566,14.256807010758308,-1.7650052033988874
Pensions,1994,9.166666666666666,24.0532260703429,10.651785231594646,-1.48511856492798
Pensions,1995,9.25,23.950816923945613,10.602490495861936,-1.352490495861936
Pensions,1996,9.916666666666666,24.66625075593068,10.946865221388192,-1.030198554721526
Pensions,1997,13.727272727272728,25.340048088003677,11.27119817982425,2.4560745474484786
Pensions,1998,13.416666666666666,26.881656334446035,12.013252710939408,1.4034139557272578
Pensions,1999,10.833333333333334,25.172120336659876,11.190366004028473,-0.3570326706951388
Pensions,2000,14.333333333333334,24.789141197888913,11.006018647361554,3.32731468597178
Pensions,2001,8.6,25.160591073357832,11.18481638265518,-2.5848163826551804
Pensions,2002,9.083333333333334,23.80551693197907,10.53255021261644,-1.4492168792831066
Pensions,2003,9.916666666666666,22.74129922817857,10.020288053263974,-0.10362138659730746
Pensions,2004,12.25,20.758505351610424,9.065868417944646,3.184131582055354
Pensions,2005,11.5,20.19440411939901,8.794337776916919,2.705662223083081
Pensions,2006,10.909090909090908,22.70015336621508,10.000482455196432,0.9086084538944768
Pensions,2007,6.666666666666667,22.083077575858542,9.70345246243902,-3.036785795772354
Pensions,2008,5.166666666666667,19.834245036810515,8.620974875042311,-3.454308208375644
Pensions,2009,3.888888888888889,17.694998390655023,7.591246556829174,-3.702357667940285
Pensions,2010,7.818181818181818,17.041109078376742,7.276496341822448,0.5416854763593699
Pensions,2011,7.916666666666667,15.95708537244422,6.754700545335347,1.1619661213313197
Pensions,2012,8.181818181818182,15.69349897142888,6.6278229915436135,1.5539951902745681
Pensions,2013,11.545454545454543,16.20286568146337,6.873007120554723,4.67244742489982
Pensions,2014,11.818181818181818,16.41638142163998,6.975783116225544,4.842398701956275
Pensions,2015,10.75,17.242787818899522,7.373574586947238,3.376425413052762
Pensions,2016,8.25,17.609952088969912,7.550309442185644,0.699690557814356
Pensions,2017,8.166666666666666,18.358574573214877,7.9106595556536154,0.2560071110130506
Pensions,2018,6.75,17.81656140411423,7.649761023887579,-0.8997610238875788
Pensions,2019,6.5,19.215184542262755,8.322989543117886,-1.8229895431178864
Pensions,2020,2.6666666666666665,16.37109320713686,6.953983592996662,-4.287316926329995
Pensions,2021,2.5,14.945164053247968,6.2676112982620404,-3.7676112982620404
Pensions,2022,2.4166666666666665,14.981425946106103,6.285065993360027,-3.86839932669336
Pensions,2023,2.4,15.25853086060713,6.4184506959096534,-4.018450695909653
Pensions,2024,4.800575533839592,15.895070816161567,6.724849782282647,-1.924274248443055
Trade unions / strikes,1979,53.666666666666664,29474,44.169886813994296,9.496779852672368
Trade unions / strikes,1980,54,11964,35.68247187894828,18.317528121051723
Trade unions / strikes,1982,8.666666666666666,5313,8.522642698282574,0.14402396838409182
